,class_normal,method,best_threshold,best_roc_score
0,1,rmse,0.0773774512261152,0.9517042547530852
0,1,euclid_dist,2.166568807125092,0.9517042547530852
0,1,mse,0.006446327674109489,0.949781748962077
0,1,rmse,0.07966472158133982,0.9500032819704952
0,1,euclid_dist,2.2306121412456035,0.9500032819704952
0,1,mse,0.005616674297675491,0.9501392934025579
0,1,rmse,0.0751325228046626,0.9500274365792917
0,1,euclid_dist,2.1037106119990345,0.9500274365792917
0,1,mse,0.005748749692575075,0.9558763279762587
0,1,rmse,0.07742186947539448,0.9563128736799513
0,1,euclid_dist,2.1678125112533575,0.9563128736799513
0,1,mse,0.008809605295769869,0.957568575648621
0,1,rmse,0.09366499174199998,0.9577909461178227
0,1,euclid_dist,2.6226198301792145,0.9577909461178227
0,1,mse,0.006580063068075104,0.9527947304969568
0,1,rmse,0.08182709875702862,0.9522420000083431
0,1,euclid_dist,2.2911587952613823,0.9522420000083431
0,1,mse,0.005413958108983933,0.9594742050674584
0,1,rmse,0.07356444094330072,0.9594742050674584
0,1,euclid_dist,2.059804460406303,0.9594742050674584
0,1,mse,0.005086008312972263,0.9567561536669325
0,1,rmse,0.08356018933206796,0.956153526295977
0,1,euclid_dist,2.3396851682662967,0.956153526295977
0,1,mse,0.005557369628129528,0.9632473694919196
0,1,rmse,0.0752623296622187,0.9631365538890827
0,1,euclid_dist,2.107345070302487,0.9631365538890827
0,1,mse,0.006184452296583914,0.9557493274050646
0,1,rmse,0.07603988885283472,0.9555793871321318
0,1,euclid_dist,2.129116862869263,0.9555793871321318
0,1,mse,0.0064457102922024214,0.9529027109288214
0,1,rmse,0.07935292802006008,0.9529309493181733
0,1,euclid_dist,2.2218819652497777,0.9529309493181733
0,1,mse,0.004386556958872825,0.955661794483549
0,1,rmse,0.06686734780613332,0.9565950408185601
0,1,euclid_dist,1.8722856627166276,0.9565950408185601
0,1,mse,0.007154666142538189,0.955604136609434
0,1,rmse,0.08526866086721419,0.9554818885670546
0,1,euclid_dist,2.3875225275993346,0.9554818885670546
0,1,mse,0.006188215451105497,0.9568900217216619
0,1,rmse,0.07859685103222733,0.9570009110541082
0,1,euclid_dist,2.2007117016196247,0.9570009110541082
0,1,mse,0.00652403211952187,0.9545815816820443
0,1,rmse,0.07968037795424462,0.9556909670825325
0,1,euclid_dist,2.2310505955696103,0.9556909670825325
0,1,mse,0.0077695507532916964,0.9601488288149196
0,1,rmse,0.08814361052513121,0.9601488288149196
0,1,euclid_dist,2.468021012306214,0.9601488288149196
0,1,mse,0.0054281996227800835,0.9452361265011465
0,1,rmse,0.10232934349179265,0.9455837728899456
0,1,euclid_dist,2.8652214799880977,0.9455837728899456
0,1,mse,0.005950401111738754,0.9615373191466893
0,1,rmse,0.07770682671479882,0.9610884861125779
0,1,euclid_dist,2.175791200697421,0.9610884861125779
0,1,mse,0.00869626135546714,0.9533872089011118
0,1,rmse,0.09111937419846654,0.9535529319379736
0,1,euclid_dist,2.551342476940154,0.9535529319379736
0,1,mse,0.009082292185071856,0.953536014323096
0,1,rmse,0.0925752452731133,0.9540696873708855
0,1,euclid_dist,2.5921067611217503,0.9540696873708855
0,1,mse,0.005257069262035657,0.9591111111111111
0,1,rmse,0.0721825959345326,0.9592222222222222
0,1,euclid_dist,2.0211125918090342,0.9592222222222222
0,1,mse,0.004781143646291458,0.9531429639379344
0,1,rmse,0.06955810131542386,0.9530318034221497
0,1,euclid_dist,1.9476268956303593,0.9530318034221497
0,1,mse,0.007278268046188167,0.9593951730154114
0,1,rmse,0.08494213772863149,0.9596161674905496
0,1,euclid_dist,2.3783798903703683,0.9596161674905496
0,1,mse,0.007359533485257999,0.9589066589124745
0,1,rmse,0.08386716950684786,0.9591218377435301
0,1,euclid_dist,2.3482809379100797,0.9591218377435301
0,1,mse,0.01086860597860068,0.9520702041901846
0,1,rmse,0.10371043346151708,0.9526250199913385
0,1,euclid_dist,2.9038921586751925,0.9526250199913385
0,1,mse,0.005958965757768601,0.9586936906468682
0,1,rmse,0.07659965381920338,0.9590272463506706
0,1,euclid_dist,2.144790416550636,0.9590272463506706
0,1,mse,0.007748380919918419,0.9520804266945703
0,1,rmse,0.08069573520720005,0.9516407975816765
0,1,euclid_dist,2.2594806032180776,0.9516407975816765
0,1,mse,0.007557573539717121,0.9462902310144548
0,1,rmse,0.08629789606779815,0.945755273156033
0,1,euclid_dist,2.4163412859678273,0.945755273156033
0,1,mse,0.006764561904943548,0.9516700372323523
0,1,rmse,0.08890166286751633,0.9524433386784812
0,1,euclid_dist,2.4892466423213477,0.9524433386784812
0,1,mse,0.005101474615931511,0.9537400737363336
