,model_name,class_normal,method,best_threshold,best_roc_score
0,sparse_kl,0,euclid_dist,2.16998446626663,0.826054085489968
0,beta_vae,0,mse,0.017857839424163,0.836516429194533
0,beta_vae,0,rmse,0.131742591679096,0.837999418435592
0,beta_vae,0,euclid_dist,3.68879279594421,0.837999418435592
0,sparse_kl,0,mse,0.007068997146562,0.831619188555925
0,sparse_kl,0,rmse,0.083106660470367,0.83090841825581
0,sparse_kl,0,euclid_dist,2.32698649764061,0.83090841825581
0,beta_vae,0,mse,0.018218783142045,0.84722810793843
0,beta_vae,0,rmse,0.135198217853904,0.846229217816343
0,beta_vae,0,euclid_dist,3.78555013895035,0.846229217816343
0,sparse_kl,0,mse,0.007050529432483,0.834707926096698
0,sparse_kl,0,rmse,0.084958160200715,0.836138801398405
0,sparse_kl,0,euclid_dist,2.37882851047516,0.836138801398405
0,beta_vae,0,mse,0.01627504324168,0.852443419813618
0,beta_vae,0,rmse,0.126835313737392,0.8520624303233
0,beta_vae,0,euclid_dist,3.55138890266418,0.8520624303233
0,sparse_kl,0,mse,0.007716479246505,0.809588029209404
0,sparse_kl,0,rmse,0.087677082151175,0.810259170149002
0,sparse_kl,0,euclid_dist,2.45495833969116,0.810259170149002
0,beta_vae,0,mse,0.017954695500434,0.844877801696847
0,beta_vae,0,rmse,0.133903972148895,0.845213372166646
0,beta_vae,0,euclid_dist,3.74931122016907,0.845213372166646
0,sparse_kl,0,mse,0.007252422059886,0.810673162090346
0,sparse_kl,0,rmse,0.085448233127594,0.809233835252435
0,sparse_kl,0,euclid_dist,2.39255033445358,0.809233835252435
0,beta_vae,0,mse,0.018465418457985,0.838117364156095
0,beta_vae,0,rmse,0.136747440472245,0.836382485780585
0,beta_vae,0,euclid_dist,3.82892840147019,0.836382485780585
0,sparse_kl,0,mse,0.018369484584779,0.834048833136929
0,sparse_kl,0,rmse,0.136197930127382,0.832925472747497
0,sparse_kl,0,euclid_dist,3.81354199409485,0.832925472747497
0,beta_vae,0,mse,0.020073852069676,0.832870406061741
0,beta_vae,0,rmse,0.138336399197578,0.834526811969295
0,beta_vae,0,euclid_dist,3.87341935729981,0.834526811969295
0,sparse_kl,0,mse,0.007081400620937,0.831381359442464
0,sparse_kl,0,rmse,0.084513190680742,0.832283061013203
0,sparse_kl,0,euclid_dist,2.36636931209564,0.832283061013203
0,beta_vae,0,mse,0.017436681677587,0.830624207157223
0,beta_vae,0,rmse,0.132376979470253,0.831186095028979
0,beta_vae,0,euclid_dist,3.70655523276329,0.831186095028979
0,sparse_kl,0,mse,0.00986843957277,0.81394286663345
0,sparse_kl,0,rmse,0.102999497525394,0.815528981896695
0,sparse_kl,0,euclid_dist,2.88398563838005,0.815528981896695
0,beta_vae,0,mse,0.018894057749212,0.854131373525992
0,beta_vae,0,rmse,0.139246091365814,0.852171566185019
0,beta_vae,0,euclid_dist,3.89889041748047,0.852171566185019
0,sparse_kl,0,mse,0.006888496443629,0.826844966696711
0,sparse_kl,0,rmse,0.079329392334819,0.826992384764798
0,sparse_kl,0,euclid_dist,2.22122291488647,0.826992384764798
0,beta_vae,0,mse,0.018345372046344,0.857867370148114
0,beta_vae,0,rmse,0.135860431542993,0.859256011949963
0,beta_vae,0,euclid_dist,3.80409183812142,0.859256011949963
0,sparse_kl,0,mse,0.010513743736595,0.815330087547759
0,sparse_kl,0,rmse,0.114133131590486,0.814212425897831
0,sparse_kl,0,euclid_dist,3.19572774238586,0.814212425897831
0,beta_vae,0,mse,0.018019721344113,0.826595636264347
0,beta_vae,0,rmse,0.143011566722393,0.823972856925849
0,beta_vae,0,euclid_dist,4.00432430448532,0.823972856925849
0,sparse_kl,0,mse,0.006632108308375,0.82395973281945
0,sparse_kl,0,rmse,0.082408061720431,0.82846527682913
0,sparse_kl,0,euclid_dist,2.30742589497566,0.82846527682913
0,beta_vae,0,mse,0.017230662882328,0.83553979657744
0,beta_vae,0,rmse,0.131705159246922,0.835088424312917
0,beta_vae,0,euclid_dist,3.68774466514587,0.835088424312917
0,sparse_kl,0,mse,0.007656694166735,0.81157280246054
0,sparse_kl,0,rmse,0.089019410376251,0.810526424750141
0,sparse_kl,0,euclid_dist,2.49254319281578,0.810526424750141
0,beta_vae,0,mse,0.016253818447143,0.824664225268694
0,beta_vae,0,rmse,0.12790986379981,0.824790915731265
0,beta_vae,0,euclid_dist,3.5814761838913,0.824790915731265
0,sparse_kl,0,mse,0.006783950678632,0.840227124720572
0,sparse_kl,0,rmse,0.081767924523354,0.84109888111844
0,sparse_kl,0,euclid_dist,2.28950189042091,0.84109888111844
0,beta_vae,0,mse,0.017651392197609,0.85106557255313
0,beta_vae,0,rmse,0.138583648109436,0.848021626039458
0,beta_vae,0,euclid_dist,3.88034235448837,0.848021626039458
0,sparse_kl,0,mse,0.006454257082194,0.814033252758499
0,sparse_kl,0,rmse,0.081030798739195,0.814175695143592
0,sparse_kl,0,euclid_dist,2.26886246614456,0.814175695143592
