,class_normal,method,best_threshold,best_roc_score
0,1,rmse,0.08228327838778496,0.9628661365312581
0,1,euclid_dist,2.303931696224212,0.9628661365312581
0,1,mse,0.006147379886033016,0.95465492410084
0,1,rmse,0.07786097220741212,0.9549884056481943
0,1,euclid_dist,2.1801074438452717,0.9549884056481943
0,1,mse,0.007006009430252016,0.9619115807216065
0,1,rmse,0.08427916585095227,0.9615801622505504
0,1,euclid_dist,2.3598166435956953,0.9615801622505504
0,1,mse,0.005493820205470547,0.9511234917035335
0,1,rmse,0.07555691830068823,0.9503868976411652
0,1,euclid_dist,2.115593681037426,0.9503868976411652
0,1,mse,0.005764678025152536,0.9489226201877035
0,1,rmse,0.0762089075371623,0.948702355870523
0,1,euclid_dist,2.1338494555950156,0.948702355870523
0,1,mse,0.006143640386871993,0.946418726884437
0,1,rmse,0.07837477449327707,0.946418726884437
0,1,euclid_dist,2.194493731856345,0.946418726884437
0,1,mse,0.0090815369382035,0.9548419953925545
0,1,rmse,0.09398894096016878,0.9549598119532748
0,1,euclid_dist,2.6316904141426094,0.9549598119532748
0,1,mse,0.0090815369382035,0.9548419953925545
0,1,rmse,0.09398894096016878,0.9549598119532748
0,1,euclid_dist,2.6316904141426094,0.9549598119532748
0,1,mse,0.007420929664699362,0.9590582453707506
0,1,rmse,0.08607248149067166,0.9591696783995002
0,1,euclid_dist,2.4100294214248663,0.9591696783995002
0,1,mse,0.005493820205470547,0.9511234917035335
0,1,rmse,0.07555691830068823,0.9503868976411652
0,1,euclid_dist,2.115593681037426,0.9503868976411652
0,1,mse,0.006247599212918431,0.9562533594840877
0,1,rmse,0.07996401846408846,0.9550281422864937
0,1,euclid_dist,2.238992559909821,0.9550281422864937
0,1,mse,0.005742773014004343,0.9518933118242064
0,1,rmse,0.07544279421269895,0.9520041274270433
0,1,euclid_dist,2.1123980429232123,0.9520041274270433
0,1,mse,0.007169636551290751,0.9554663953571058
0,1,rmse,0.07910616187192498,0.9556710626838132
0,1,euclid_dist,2.2149725518822674,0.9556710626838132
0,1,mse,0.0060049383466597665,0.9545060881416702
0,1,rmse,0.07688474693130701,0.9545060881416702
0,1,euclid_dist,2.1527730007410053,0.9545060881416702
0,1,mse,0.006066862204915379,0.9458399336199744
0,1,rmse,0.07740618938952684,0.9462834909497593
0,1,euclid_dist,2.1673734049797053,0.9462834909497593
0,1,mse,0.005156566047761589,0.9578583614127606
0,1,rmse,0.07224256640523674,0.9578583614127606
0,1,euclid_dist,2.022791800665855,0.9578583614127606
0,1,mse,0.006643921614624559,0.9550550566314905
0,1,rmse,0.08299841158688065,0.9551270189363665
0,1,euclid_dist,2.323955382311344,0.9551270189363665
0,1,mse,0.006091513482388108,0.9602688377412768
0,1,rmse,0.07780598522424696,0.960379973549234
0,1,euclid_dist,2.1785675174057477,0.960379973549234
0,1,mse,0.005986963609931988,0.9630257382862458
0,1,rmse,0.07730925492644308,0.9630257382862458
0,1,euclid_dist,2.1646591004848483,0.9630257382862458
0,2,mse,0.006013916121795771,0.8147211668631819
0,2,rmse,0.07914629524946214,0.8160159832307088
0,2,euclid_dist,2.216096239089966,0.8160159832307088
0,2,mse,0.01228688998669386,0.7945465387325853
0,2,rmse,0.11066667422279712,0.794770152328292
0,2,euclid_dist,3.0986670455932614,0.794770152328292
0,2,mse,0.0062928876876831045,0.8085915168401963
0,2,rmse,0.07919372129514816,0.8079371529188678
0,2,euclid_dist,2.2174242703199374,0.8079371529188678
0,2,mse,0.00905291428864002,0.8038579671392022
0,2,rmse,0.09498369218222792,0.8044070556522706
0,2,euclid_dist,2.6595434835553178,0.8044070556522706
0,2,mse,0.006078884207084775,0.7884758741849586
0,2,rmse,0.0796175812482834,0.7892681072666736
0,2,euclid_dist,2.229292200088502,0.7892681072666736
0,2,mse,0.00983356189355254,0.7991477824216144
0,2,rmse,0.10003667382895944,0.8001957524965085
0,2,euclid_dist,2.801026730537414,0.8001957524965085
0,2,mse,0.004957180547527969,0.7889534965825002
0,2,rmse,0.06938430888019503,0.7909641021295827
0,2,euclid_dist,1.9427607012391102,0.7909641021295827
0,2,mse,0.014838008464872841,0.8104198000222816
0,2,rmse,0.12160491634309299,0.8101116867201426
0,2,euclid_dist,3.4049371378421776,0.8101116867201426
0,2,mse,0.005771420760825275,0.803414885693004
0,2,rmse,0.0767917409531772,0.8048938577894919
0,2,euclid_dist,2.1501688104391103,0.8048938577894919
0,2,mse,0.009553637934476136,0.7763686598711595
0,2,rmse,0.09033058426827191,0.7770269295417002
0,2,euclid_dist,2.529256352877617,0.7770269295417002
0,2,mse,0.007231003420427443,0.7954722652764079
0,2,rmse,0.08485304254293442,0.7962448922079752
0,2,euclid_dist,2.375885139584542,0.7962448922079752
0,2,mse,0.011575777889974413,0.8059999999999999
0,2,rmse,0.09535721842199567,0.8050000000000002
0,2,euclid_dist,2.6700022280216222,0.8050000000000002
0,2,mse,0.008336176480865107,0.7965219785608134
0,2,rmse,0.09035221546888354,0.7974743702899042
0,2,euclid_dist,2.5298620319366445,0.7974743702899042
0,2,mse,0.006563671770505607,0.7960515166920861
0,2,rmse,0.08631273706331849,0.7947805456702256
0,2,euclid_dist,2.4167565370559694,0.7947805456702256
0,2,mse,0.00905291428864002,0.8038579671392022
0,2,rmse,0.09498369218222792,0.8044070556522706
0,2,euclid_dist,2.6595434835553178,0.8044070556522706
0,2,mse,0.005282861212827264,0.8025555555555556
0,2,rmse,0.08530097562968729,0.8023333333333333
